id,difficulty,estimated_time,topics
P1,1300,99,dp
P2,1400,31,implementation
P3,1700,83,binary_search
P4,800,34,number_theory
P5,1400,17,prefix_sum
P6,2100,53,math|greedy
P7,1500,119,binary_search
P8,1400,21,implementation|graphs
P9,1200,16,dp
P10,1600,67,math
P11,1700,95,trees
P12,800,117,graphs|number_theory|math
P13,1600,92,math
P14,2100,49,greedy|bitmasks
P15,1200,117,trees|strings|implementation
P16,1000,22,number_theory
P17,800,16,dp|trees|greedy
P18,1600,22,two_pointers|number_theory|implementation
P19,1600,62,math
P20,1700,92,implementation|binary_search
P21,900,118,implementation|trees|prefix_sum
P22,1100,67,prefix_sum|dp
P23,900,36,trees|number_theory
P24,1700,111,number_theory
P25,1100,114,trees|strings|number_theory
P26,1600,100,binary_search
P27,1000,59,graphs|prefix_sum|implementation
P28,1200,48,dp
P29,1900,52,number_theory|binary_search
P30,1400,38,dp
P31,1200,38,prefix_sum|dp|implementation
P32,1100,117,dp
P33,1100,120,number_theory
P34,800,44,trees|prefix_sum
P35,1400,62,prefix_sum|binary_search|greedy
P36,1300,40,number_theory|graphs|implementation
P37,1600,57,math
P38,1500,34,greedy
P39,800,90,bitmasks
P40,2100,88,greedy|prefix_sum|math
P41,1200,92,dp
P42,1100,84,trees
P43,1100,120,trees|implementation
P44,1000,50,binary_search|dp|graphs
P45,2000,57,strings
P46,1900,110,binary_search|bitmasks|math
P47,1700,118,math|binary_search|two_pointers
P48,1400,84,strings|implementation
P49,1200,33,greedy|binary_search
P50,1200,75,dp
