problem_id,solved,time_taken,wrong_submissions
P39,1,96,3
P200,1,43,0
P34,0,44,5
P156,1,29,1
P26,0,106,0
P128,1,64,2
P104,1,107,1
P230,1,77,2
P163,0,97,5
P31,1,57,1
P120,1,106,3
P67,1,121,0
P172,0,39,3
P109,1,120,2
P13,0,97,1
P142,0,53,5
P196,1,27,0
P178,0,95,4
P148,1,98,1
P49,0,29,6
P24,0,128,1
P241,1,44,2
P224,0,92,4
P171,1,87,2
P103,1,118,3
P181,0,24,0
P161,0,30,4
P79,0,64,2
P205,1,107,1
P244,0,46,1
P169,0,86,2
P115,0,96,5
P174,1,72,2
P94,1,100,3
P15,1,127,1
P179,0,96,5
P90,0,113,4
P222,1,43,0
P202,1,121,1
P215,0,117,5
P208,0,126,4
P139,0,95,3
P66,0,45,0
P53,1,50,3
P4,1,51,1
P50,1,98,0
P37,0,72,3
P236,1,90,0
P129,0,81,1
P111,1,39,1
P108,0,81,4
P248,0,29,3
P153,1,87,2
P119,0,107,5
P249,1,59,1
