id,difficulty,estimated_time,topics
P1,1300,99,dp
P2,1400,31,implementation
P3,1700,83,binary_search
P4,800,34,number_theory
P5,1400,17,prefix_sum
P6,2100,53,math|greedy
P7,1500,119,binary_search
P8,1400,21,implementation|graphs
P9,1200,16,dp
P10,1600,67,math
P11,1700,95,trees
P12,800,117,graphs|number_theory|math
P13,1600,92,math
P14,2100,49,greedy|bitmasks
P15,1200,117,trees|strings|implementation
P16,1000,22,number_theory
P17,800,16,dp|trees|greedy
P18,1600,22,two_pointers|number_theory|implementation
P19,1600,62,math
P20,1700,92,implementation|binary_search
P21,900,118,implementation|trees|prefix_sum
P22,1100,67,prefix_sum|dp
P23,900,36,trees|number_theory
P24,1700,111,number_theory
P25,1100,114,trees|strings|number_theory
P26,1600,100,binary_search
P27,1000,59,graphs|prefix_sum|implementation
P28,1200,48,dp
P29,1900,52,number_theory|binary_search
P30,1400,38,dp
P31,1200,38,prefix_sum|dp|implementation
P32,1100,117,dp
P33,1100,120,number_theory
P34,800,44,trees|prefix_sum
P35,1400,62,prefix_sum|binary_search|greedy
P36,1300,40,number_theory|graphs|implementation
P37,1600,57,math
P38,1500,34,greedy
P39,800,90,bitmasks
P40,2100,88,greedy|prefix_sum|math
P41,1200,92,dp
P42,1100,84,trees
P43,1100,120,trees|implementation
P44,1000,50,binary_search|dp|graphs
P45,2000,57,strings
P46,1900,110,binary_search|bitmasks|math
P47,1700,118,math|binary_search|two_pointers
P48,1400,84,strings|implementation
P49,1200,33,greedy|binary_search
P50,1200,75,dp
P51,1100,77,implementation|math
P52,1400,99,implementation|number_theory|greedy
P53,1000,39,strings|math
P54,800,33,bitmasks|trees|strings
P55,1300,94,bitmasks|graphs|binary_search
P56,1600,117,binary_search
P57,1900,43,implementation|greedy|two_pointers
P58,1900,88,two_pointers|strings|number_theory
P59,2100,53,binary_search|graphs|two_pointers
P60,1900,88,greedy
P61,1900,59,prefix_sum|trees
P62,800,68,strings|greedy
P63,1900,20,two_pointers
P64,1400,76,greedy|strings|binary_search
P65,1200,103,prefix_sum|two_pointers|greedy
P66,1200,53,dp
P67,1100,117,strings|bitmasks
P68,1300,72,binary_search|implementation|trees
P69,1500,90,greedy|graphs
P70,1800,23,strings|graphs
P71,1700,87,math
P72,1100,73,bitmasks|graphs
P73,2100,69,bitmasks|dp
P74,800,41,prefix_sum|bitmasks
P75,900,24,math|binary_search|two_pointers
P76,1000,65,dp|greedy
P77,1000,64,two_pointers|math
P78,2000,19,number_theory|dp
P79,1900,72,strings|trees
P80,2100,17,graphs|number_theory|implementation
P81,1300,75,bitmasks|number_theory|math
P82,1600,55,graphs
P83,800,37,strings|dp|binary_search
P84,1200,22,prefix_sum|implementation
P85,1900,42,math|greedy
P86,2100,108,number_theory|bitmasks
P87,1000,59,bitmasks|dp
P88,900,54,trees|greedy
P89,2000,40,greedy
P90,1300,110,graphs
P91,2000,25,number_theory
P92,1200,48,graphs|trees
P93,1600,23,dp|bitmasks|strings
P94,1000,94,bitmasks|prefix_sum|dp
P95,1400,118,two_pointers|bitmasks|math
P96,1500,52,binary_search|implementation|graphs
P97,1600,106,math
P98,1300,102,prefix_sum
P99,2100,76,trees|binary_search|prefix_sum
P100,2000,119,prefix_sum|math
P101,1800,55,number_theory
P102,1400,67,prefix_sum|implementation|binary_search
P103,900,96,trees|binary_search
P104,1100,116,strings|two_pointers
P105,1100,61,number_theory
P106,1200,109,prefix_sum
P107,1500,88,greedy|binary_search|prefix_sum
P108,1200,63,binary_search|dp|number_theory
P109,800,112,implementation|graphs
P110,900,80,math|bitmasks
P111,1200,39,math|trees|prefix_sum
P112,1400,89,trees|binary_search
P113,1700,43,two_pointers|greedy|trees
P114,1300,91,strings|dp|two_pointers
P115,2000,73,number_theory|greedy|two_pointers
P116,1400,119,dp|binary_search
P117,2100,102,prefix_sum|number_theory
P118,900,43,binary_search|graphs
P119,2200,94,binary_search|trees|math
P120,1800,105,dp
P121,2100,44,implementation|binary_search
P122,800,52,number_theory|greedy
P123,1800,103,dp|number_theory
P124,900,107,prefix_sum|dp
P125,1800,98,graphs
P126,1600,16,number_theory|binary_search
P127,1400,24,greedy|math|dp
P128,2000,57,binary_search|dp|implementation
P129,1000,63,prefix_sum|trees
P130,800,118,graphs|strings
P131,1100,51,math
P132,1300,29,math|two_pointers
P133,2000,107,trees
P134,1100,19,dp
P135,900,73,trees|strings
P136,900,68,strings|math
P137,1600,87,binary_search
P138,800,44,bitmasks|binary_search|prefix_sum
P139,1000,71,trees|two_pointers
P140,1500,64,two_pointers
P141,1700,87,prefix_sum
P142,2000,62,strings|two_pointers|prefix_sum
P143,1300,34,prefix_sum
P144,1500,27,trees|binary_search
P145,1900,83,binary_search|bitmasks
P146,1500,94,two_pointers|bitmasks
P147,1300,110,graphs|two_pointers|implementation
P148,1200,79,implementation|prefix_sum
P149,1100,66,two_pointers
P150,800,110,strings|implementation|graphs
P151,2100,120,binary_search|bitmasks|greedy
P152,800,101,dp|binary_search|number_theory
