problem_id,solved,time_taken,wrong_submissions
P88,1,71,2
P239,0,100,2
P52,1,93,3
P241,1,62,2
P149,0,67,0
P228,0,115,2
P82,1,56,2
P86,1,119,2
P183,0,57,3
P99,0,79,0
P108,1,78,2
P136,1,83,1
P75,0,41,1
P111,0,30,3
P180,1,119,0
P175,0,107,0
P223,0,61,6
P4,1,41,1
P31,1,46,2
P20,1,87,0
P121,1,48,1
P57,1,40,0
P156,1,23,2
P129,0,78,1
P28,1,71,2
P148,1,79,2
P18,0,43,3
P147,1,107,0
P95,0,140,6
P141,1,88,2
P215,0,125,2
P250,0,138,0
P127,0,22,4
P138,0,34,5
P77,0,84,2
P179,0,91,3
P221,1,20,1
P63,0,34,0
P244,0,41,1
P41,1,88,1
P140,0,72,3
P54,1,37,1
P135,0,97,1
P71,1,85,0
P17,1,23,2
P194,0,110,1
P235,1,13,0
P107,1,113,1
P245,0,93,0
P182,0,71,6
P184,1,69,2
P92,0,57,3
P195,0,124,3
P98,0,113,4
P56,0,134,2
P45,0,55,5
P173,1,75,1
P118,1,68,2
P213,0,66,5
P76,0,83,5
P187,0,98,3
P152,0,116,0
P134,1,30,1
P218,1,17,0
P217,1,74,2
P24,0,113,4
P130,0,114,6
P27,1,63,1
P113,1,66,2
P237,0,38,2
P157,1,57,0
P23,1,45,3
P203,1,52,0
P91,1,21,2
P191,1,90,1
P69,1,89,0
P240,1,48,3
P6,1,63,3
P143,1,46,0
P94,0,94,2
P85,1,58,2
P34,1,64,3
P145,0,101,6
P60,1,108,0
P87,1,54,2
P204,1,87,2
P131,1,41,1
P25,0,137,4
P29,1,42,0
P80,0,17,3
P232,0,86,3
P11,1,120,0
P233,0,75,0
P39,0,97,2
P181,0,48,2
P242,1,80,2
P229,1,33,1
P117,1,111,0
P72,1,76,2
P167,0,21,1
P177,1,50,3
P53,0,46,6
P30,1,50,1
P74,1,43,1
P132,1,39,2
P114,0,112,1
P197,0,94,3
P212,0,88,0
P9,1,29,0
P116,0,144,6
P172,0,50,1
P126,1,37,1
P61,1,49,3
P102,1,68,1
P211,1,53,2
P12,1,142,2
P222,0,24,2
P226,0,15,5
P49,0,34,3
P122,0,55,3
P155,0,94,5
P90,1,133,1
P169,0,60,1
P3,1,97,3
P35,0,57,1
P123,1,103,3
P209,0,118,5
P33,1,114,2
P153,1,93,1
P100,0,119,5
P37,0,76,1
P124,1,119,3
P238,0,34,0
P154,1,46,2
P40,0,101,0
P120,1,109,2
P32,0,139,6
P44,0,40,2
P47,1,111,1
P224,1,114,0
P164,0,59,1
P1,1,124,1
P168,1,92,3
P105,0,60,0
P193,0,86,2
P163,0,111,0
P151,0,128,5
P248,1,37,0
P119,1,106,1
P220,0,107,0
P38,0,43,2
P186,1,48,2
P165,0,106,0
P21,1,142,1
P170,1,49,0
P66,1,57,0
P103,0,101,5
P188,0,32,0
P22,0,91,0
P189,1,76,2
P84,1,26,0
P133,0,129,1
P58,0,87,1
P2,1,24,2
P236,0,78,6
P159,0,77,6
P150,1,126,2
P83,1,42,2
P214,1,98,0
P64,0,86,2
P81,0,92,0
P128,0,59,0
P178,0,65,0
P68,0,73,5
P247,1,82,0
P219,0,55,0
P246,1,120,2
P249,0,65,1
P231,0,76,4
P26,0,91,4
P206,1,111,3
P104,0,115,2
P210,0,85,6
P200,1,54,2
